startTime,endTime,sampleLabel,responseTime,isSuccsessful,isFailed,responseCode
1716030655594,1716030655680,GET_mainPage,86,1,0,200
1716030655605,1716030655704,GET_mainPage,99,1,0,200
1716030655582,1716030655704,GET_mainPage,122,1,0,200
1716030655615,1716030655716,GET_mainPage,101,1,0,200
1716030655636,1716030655723,GET_mainPage,87,1,0,200
1716030655626,1716030655728,GET_mainPage,102,1,0,200
1716030655646,1716030655734,GET_mainPage,88,1,0,200
1716030655680,1716030655735,GET_category,55,0,1,503
1716030655656,1716030655757,GET_mainPage,101,1,0,200
1716030655666,1716030655757,GET_mainPage,91,1,0,200
1716030655704,1716030655774,GET_category,70,0,1,503
1716030655675,1716030655781,GET_mainPage,106,1,0,200
1716030655686,1716030655784,GET_mainPage,98,1,0,200
1716030655716,1716030655785,GET_category,69,0,1,503
1716030655706,1716030655792,GET_mainPage,86,1,0,200
1716030655736,1716030655793,GET_card,57,1,0,200
1716030655704,1716030655794,GET_category,90,0,1,503
1716030655734,1716030655808,GET_category,74,0,1,503
1716030655728,1716030655808,GET_category,80,0,1,503
1716030655696,1716030655813,GET_mainPage,117,1,0,200
1716030655723,1716030655813,GET_category,90,0,1,503
1716030655758,1716030655814,GET_category,56,0,1,503
1716030655716,1716030655825,GET_mainPage,109,1,0,200
1716030655726,1716030655828,GET_mainPage,102,1,0,200
1716030655734,1716030655833,GET_mainPage,99,1,0,200
1716030655784,1716030655839,GET_category,55,0,1,503
1716030655774,1716030655847,GET_card,73,1,0,200
1716030655758,1716030655847,GET_category,89,0,1,503
1716030655763,1716030655848,GET_mainPage,85,1,0,200
1716030655755,1716030655856,GET_mainPage,101,1,0,200
1716030655771,1716030655861,GET_mainPage,90,1,0,200
1716030655786,1716030655863,GET_mainPage,77,1,0,200
1716030655745,1716030655864,GET_mainPage,119,1,0,200
1716030655792,1716030655866,GET_category,74,0,1,503
1716030655781,1716030655878,GET_category,97,0,1,503
1716030655785,1716030655880,GET_card,95,1,0,200
1716030655825,1716030655886,GET_category,61,0,1,503
1716030655793,1716030655890,POST_card,97,1,0,200
1716030655808,1716030655890,GET_card,82,1,0,200
1716030655804,1716030655890,GET_mainPage,86,1,0,200
1716030655813,1716030655890,GET_category,77,0,1,503
1716030655794,1716030655893,GET_card,99,1,0,200
1716030655816,1716030655893,GET_mainPage,77,1,0,200
1716030655828,1716030655897,GET_category,69,0,1,503
1716030655808,1716030655898,GET_card,90,1,0,200
1716030655839,1716030655898,GET_card,59,1,0,200
1716030655814,1716030655905,GET_card,91,1,0,200
1716030655847,1716030655909,POST_card,62,1,0,200
1716030655792,1716030655909,GET_mainPage,117,1,0,200
1716030655813,1716030655910,GET_card,97,1,0,200
1716030655863,1716030655921,GET_category,58,0,1,503
1716030655848,1716030655925,GET_category,77,0,1,503
1716030655833,1716030655931,GET_category,98,0,1,503
1716030655856,1716030655934,GET_category,78,0,1,503
1716030655847,1716030655934,GET_card,87,1,0,200
1716030655846,1716030655937,GET_mainPage,91,1,0,200
1716030655836,1716030655937,GET_mainPage,101,1,0,200
1716030655825,1716030655937,GET_mainPage,112,1,0,200
1716030655865,1716030655943,GET_category,78,0,1,503
1716030655878,1716030655943,GET_card,65,1,0,200
1716030655866,1716030655944,GET_card,78,1,0,200
1716030655893,1716030655948,GET_category,55,0,1,503
1716030655886,1716030655948,GET_card,62,1,0,200
1716030655856,1716030655958,GET_mainPage,102,1,0,200
1716030655861,1716030655959,GET_category,98,0,1,503
1716030655905,1716030655961,POST_card,56,1,0,200
